"Day","Date","Code","Title","Type","Start","End","Staff","Groups","Room"
"Mon","19 Nov 2012","6MNTPCS3","CVD: investigation of the CV system","Lecture","15:00","16:00","Kalpa De Silva","","FWB 1.11"
"Thu","22 Nov 2012","6MNTCHP3","Student presentations 4","Pre","10:00","11:00","Christine Baldwin","","Classroom 1.17"
"Thu","22 Nov 2012","6MNTCHP3","Student presentations 5","Pre","11:00","12:00","Christine Baldwin","","Classroom 1.17"
"Thu","22 Nov 2012","6MNTCHP3","Student presentations 6","Pre","12:00","13:00","Christine Baldwin","","Classroom 1.17"
"Fri","23 Nov 2012","6MNT0302","Infant Nutrition 1","Lecture","09:00","10:00","Sian Robinson","","FWB 1.71"
"Fri","23 Nov 2012","6MNT0302","Infant Nutrition 2","Lecture","10:00","11:00","Sian Robinson","","FWB 1.71"
"Fri","23 Nov 2012","6MNT0302","Public Nutrition 3:Nutrition and Poverty","Lecture","11:00","12:00","Anne Mullen","","FWB 1.71"
"Fri","23 Nov 2012","6MNT0302","Public Nutrition 4: Nutrition policy and interventions, in theory","Lecture","12:00","13:00","Anne Mullen","","FWB 1.71"
"Mon","26 Nov 2012","6MNTDT03","Disorders of the stomach","Lecture","10:00","11:00","Christine Baldwin","","FWB 1.13"
"Mon","26 Nov 2012","6MNTDT03","Disorders of the pancreas","Lecture","11:00","12:00","Kate Waller","","FWB 1.13"
"Mon","26 Nov 2012","6MNTPCS3","CVD: angina and MI","Lecture","14:00","15:00","Kal Asrress","","FWB 1.11"
"Mon","26 Nov 2012","6MNTPCS3","CVD: stroke","Lecture","15:00","16:00","Kal Asrress","","FWB 1.11"
"Tue","27 Nov 2012","6MNTDT03","Practical 3: Nutrient density","Practical","09:30","13:00","Annemarie Knight","","Diet Kitchen"
"Thu","29 Nov 2012","6MNTCHP3","Student presentations 7","Pre","10:00","11:00","Christine Baldwin","","Classroom 1.17"
"Thu","29 Nov 2012","6MNTCHP3","Student presentations 8","Pre","11:00","12:00","Christine Baldwin","","Classroom 1.17"
"Thu","29 Nov 2012","6MNTCHP3","Student presentations 9","Pre","12:00","13:00","Christine Baldwin","","Classroom 1.17"
"Fri","30 Nov 2012","6MNT0302","Child Growth Practical","Practical","09:00","17:00","Victor Preedy","B","FWB Student Computer Room 2.87"
"Fri","30 Nov 2012","6MNT0302","PRACTICAL-3","Practical","09:01","17:00","Victor Preedy","","See timetables or emails"
"Fri","30 Nov 2012","6MNTDT03","Practical 2: Dysphagia","Practical","09:30","13:00","Annemarie Knight","","Diet Kitchen"
"Fri","30 Nov 2012","6MNT0302","Iron Laboratory","Practical","11:00","17:00","Victor Preedy","A","FWB 5.131"
"Fri","30 Nov 2012","6MNT0302","Lipids Laboratory","Practical","11:00","17:00","Victor Preedy","C","FWB 5.131"
"Mon","03 Dec 2012","6MNTDT03","Inflammatory bowel diseases","Lecture","10:00","11:00","Kevin Whelan","","FWB 1.13"
"Mon","03 Dec 2012","6MNTDT03","Colon & Irritable bowel syndrome (IBS)","Lecture","11:00","12:00","Kevin Whelan","","FWB 1.13"
"Mon","03 Dec 2012","6MNTPCS3","CVD: diabetes I","Lecture","14:00","15:00","Jane Howard","","FWB 1.11"
"Mon","03 Dec 2012","6MNTPCS3","CVD: diabetes II","Lecture","15:00","16:00","Jane Howard","","FWB 1.11"
"Tue","04 Dec 2012","6MNTDT03","Food hypersensitivity & intolerance","Lecture","10:00","11:00","Tanya Wright","","FWB 1.11"
"Tue","04 Dec 2012","6MNTDT03","Food hypersensitivity & intolerance","Lecture","11:00","12:00","Tanya Wright","","FWB 1.11"
"Thu","06 Dec 2012","6MNTCHP3","Motivational Interviewing and Cognitive Behaviour Therapy","Lecture","10:00","11:00","Laura McGowan","","Classroom 1.17"
"Thu","06 Dec 2012","6MNTCHP3","Motivational Interviewing and Cognitive Behaviour Therapy","Lecture","11:00","12:00","Laura McGowan","","Classroom 1.17"
"Thu","06 Dec 2012","6MNTCHP3","Motivational Interviewing and Cognitive Behaviour Therapy","Lecture","12:00","13:00","Laura McGowan","","Classroom 1.17"
"Fri","07 Dec 2012","6MNT0302","Energy Regulation","Lecture","09:00","10:00","Sandra O'Dell","","FWB 1.71"
"Fri","07 Dec 2012","6MNT0302","Diet & Diabetes 1","Lecture","10:00","11:00","Wendy Hall","","FWB 1.71"
"Fri","07 Dec 2012","6MNT0302","Diet & Diabetes 2","Lecture","11:00","12:00","Wendy Hall","","FWB 1.71"
"Fri","07 Dec 2012","6MNT0302","TUTORIAL","Tutorial","12:00","13:00","Anne Mullen","","FWB 1.71"
"Mon","10 Dec 2012","6MNTDT03","Coeliac disease","Lecture","10:00","11:00","Lorna Gardner","","FWB 1.13"
"Mon","10 Dec 2012","6MNTDT03","Coeliac disease","Lecture","11:00","12:00","Lorna Gardner","","FWB 1.13"
"Mon","10 Dec 2012","6MNTPCS3","Renal disease I","Lecture","14:00","15:00","Hamish Dobbie","","FWB 1.11"
"Mon","10 Dec 2012","6MNTPCS3","Renal disease II","Lecture","15:00","16:00","Hamish Dobbie","","FWB 1.11"
"Thu","13 Dec 2012","6MNTCHP3","Use of the media in communicating with the public","Lecture","10:00","11:00","External speaker (TBC)","","Classroom 1.17"
"Thu","13 Dec 2012","6MNTCHP3","Use of the media in communicating with the public","Lecture","11:00","12:00","External speaker (TBC)","","Classroom 1.17"
"Thu","13 Dec 2012","6MNTCHP3","Module review","Lecture","12:00","13:00","Christine Baldwin","","Classroom 1.17"
"Fri","14 Dec 2012","6MNT0302","Public Nutrition 5: Nutrition policy and interventions, in practice","Lecture","09:00","10:00","Anne Mullen","","FWB 1.71"
"Fri","14 Dec 2012","6MNT0302","Spare Slot","SDL","10:00","11:00","","","n/a"
"Fri","11 Jan 2013","6MNT0302","Second Practical Submission Deadline","Assessment","16:00","16:00","n/a","","Academic Centre"
"Mon","14 Jan 2013","6MNTPCS3","Student Presentations","Pre","14:00","15:00","Kevin Whelan","","FWB 1.11"
"Mon","14 Jan 2013","6MNTPCS3","Student Presentations","Pre","15:00","16:00","Kevin Whelan","","FWB 1.11"
"Fri","18 Jan 2013","6MNT0302","Ethnic Minorities","Lecture","09:00","10:00","Maria Maynard (External)","","FWB 1.71"
"Fri","18 Jan 2013","6MNT0302","Obesity 1","Lecture","10:00","11:00","Sandra O'Dell","","FWB 1.71"
"Fri","18 Jan 2013","6MNT0302","Obesity 2","Lecture","11:00","12:00","Sandra O'Dell","","FWB 1.71"
"Fri","18 Jan 2013","6MNT0302","Poster Tutorial 1","Tutorial","12:00","13:00","Poster Tutor","","Tutor's Office"
"Mon","21 Jan 2013","6MNTPCS3","Student Presentations","Pre","14:00","15:00","Kevin Whelan","","FWB 1.11"
"Mon","21 Jan 2013","6MNTPCS3","Student Presentations","Pre","15:00","16:00","Kevin Whelan","","FWB 1.11"
"Thu","24 Jan 2013","6MNTDT03","Renal","Lecture","14:00","15:00","Helen McLaughlin","","FWB G79"
"Thu","24 Jan 2013","6MNTDT03","Renal","Lecture","15:00","16:00","Helen McLaughlin","","FWB G79"
"Thu","24 Jan 2013","6MNTDT03","Renal","Lecture","16:00","17:00","Helen McLaughlin","","FWB G79"
"Fri","25 Jan 2013","6MNT0302","Stroke","Lecture","09:00","10:00","Tom Sanders","","FWB 1.71"
"Fri","25 Jan 2013","6MNT0302","Metabolic Syndrome","Lecture","10:00","11:00","Wendy Hall","","FWB 1.71"
"Fri","25 Jan 2013","6MNT0302","Diet & Bone Health 1","Lecture","11:00","12:00","Caje Moniz","","FWB 1.71"
"Fri","25 Jan 2013","6MNT0302","Diet & Bone Health 2","Lecture","12:00","13:00","Caje Moniz","","FWB 1.71"
"Mon","28 Jan 2013","6MNTPCS3","Student Presentations","Pre","14:00","15:00","Kevin Whelan","","FWB 1.11"
"Mon","28 Jan 2013","6MNTPCS3","Student Presentations","Pre","15:00","16:00","Kevin Whelan","","FWB 1.11"
"Tue","29 Jan 2013","6MNTDT03","Practical 4: Gluten-free","Practical","09:30","13:00","Annemarie Knight","","Diet Kitchen"
"Thu","31 Jan 2013","6MNTDT03","Cardiovascular disease","Lecture","14:00","15:00","Louise Goff","","FWB G79"
"Thu","31 Jan 2013","6MNTDT03","Cardiovascular disease","Lecture","15:00","16:00","Louise Goff","","FWB G79"
"Thu","31 Jan 2013","6MNTDT03","Cardiovascular disease","Lecture","16:00","17:00","Louise Goff","","FWB G79"
"Fri","01 Feb 2013","6MNT0302","HIV and AIDS","Lecture","09:00","10:00","Alastair Duncan","","FWB 1.71"
"Fri","01 Feb 2013","6MNT0302","TUTORIAL","Tutorial","10:00","11:00","Sandra O'Dell","","FWB 1.71"
"Fri","01 Feb 2013","6MNT0302","Protein Energy Malnutrition","Lecture","11:00","12:00","Peter Emery","","FWB 1.71"
"Fri","01 Feb 2013","6MNT0302","Spare Slot","Tutorial","12:00","13:00","","","FWB 1.71"
"Thu","07 Feb 2013","6MNTDT03","Diabetes","Lecture","14:00","15:00","Miranda Greg","","FWB G79"
"Thu","07 Feb 2013","6MNTDT03","Diabetes","Lecture","15:00","16:00","Miranda Greg","","FWB G79"
"Thu","07 Feb 2013","6MNTDT03","Diabetes","Lecture","16:00","17:00","Miranda Greg","","FWB G79"
"Fri","08 Feb 2013","6MNT0302","Nutrition & Behaviour","Lecture","09:00","10:00","Leigh Gibson","","FWB 1.71"
"Fri","08 Feb 2013","6MNT0302","Diet & Cancer 1","Lecture","10:00","11:00","Christine Baldwin","","FWB 1.71"
"Fri","08 Feb 2013","6MNT0302","Diet & Cancer 2","Lecture","11:00","12:00","Christine Baldwin","","FWB 1.71"
"Fri","08 Feb 2013","6MNT0302","Public Nutrition 6: Nutrition policy challenges in the 21st century","Lecture","12:00","13:00","Anne Mullen","","FWB 1.71"
"Tue","12 Feb 2013","6MNTDT03","Practical 6: Allergy","Practical","09:30","13:00","Annemarie Knight","","Diet Kitchen"
"Thu","14 Feb 2013","6MNTDT03","Obesity","Lecture","14:00","15:00","Clare Grace","","FWB G79"
"Thu","14 Feb 2013","6MNTDT03","Obesity","Lecture","15:00","16:00","Clare Grace","","FWB G79"
"Thu","14 Feb 2013","6MNTDT03","Bariatrics","Lecture","16:00","17:00","Clare Grace","","FWB G79"
"Fri","15 Feb 2013","6MNT0302","Spare Slot","Lecture","09:00","10:00","N/B","","FWB 1.71"
"Fri","15 Feb 2013","6MNT0302","Free Radicals & Disease","Lecture","10:00","11:00","Frank Kelly","","FWB 1.71"
"Fri","15 Feb 2013","6MNT0302","Free Radicals & Disease","Lecture","11:00","12:00","Frank Kelly","","FWB 1.71"
"Fri","15 Feb 2013","6MNT0302","Poster Tutorial 2","Tutorial","12:00","13:00","Poster Tutor","","Tutor's Office"
"Thu","21 Feb 2013","6MNTDT03","Paediatric obesity","Lecture","14:00","15:00","Alison Gallagher","","FWB G79"
"Thu","21 Feb 2013","6MNTDT03","Paediatric obesity","Lecture","15:00","16:00","Alison Gallagher","","FWB G79"
"Fri","22 Feb 2013","6MNT0302","Spare Slot","SDL","09:00","10:00","","","n/a"
"Fri","22 Feb 2013","6MNT0302","Nutritional rehabilitation in emergencies","Lecture","10:00","11:00","Claire Schofield","","FWB 1.71"
"Fri","22 Feb 2013","6MNT0302","Spare Slot","SDL","11:00","12:00","","","FWB 1.71"
"Fri","22 Feb 2013","6MNT0302","Dietary Influence on Blood Pressure and Vascular Function","Lecture","12:00","13:00","Tom Sanders","","FWB 1.71"
"Thu","28 Feb 2013","6MNTDT03","Mental Health","Lecture","14:00","15:00","Kate Williams","","FWB G79"
"Thu","28 Feb 2013","6MNTDT03","Eating disorders","Lecture","15:00","16:00","Kate Williams","","FWB G79"
"Fri","01 Mar 2013","6MNT0302","Applied Aspects of Carbohydrate 1","Lecture","09:00","10:00","Christopher Corpe","","FWB 1.71"
"Fri","01 Mar 2013","6MNT0302","Applied Aspects of Carbohydrate 2","Lecture","10:00","11:00","Christopher Corpe","","FWB 1.71"
"Fri","01 Mar 2013","6MNT0302","The 6MNT0302 exam: questions and queries","Lecture","11:00","12:00","Victor Preedy","","FWB 1.71"
"Fri","01 Mar 2013","6MNT0302","Health Claims","Lecture","12:00","13:00","Melanie Ruffell","","FWB 1.71"
"Tue","05 Mar 2013","6MNTDT03","Practical 5: Renal","Practical","09:30","13:00","Louise Goff & Annemarie Knight","","Diet Kitchen"
"Thu","07 Mar 2013","6MNTDT03","Paediatrics - growth failure","Lecture","14:00","15:00","Dianne Riedlinger","","FWB G79"
"Thu","07 Mar 2013","6MNTDT03","Paediatrics - feeding difficulties","Lecture","15:00","16:00","Dianne Riedlinger","","FWB G79"
"Fri","08 Mar 2013","6MNT0302","Poster Day Discussion and Preparation","Poster","09:00","13:00","Victor Preedy and Various","","Anatomy Museum"
"Fri","08 Mar 2013","6MNT0302","Poster Discussion","Poster","14:00","17:00","Victor Preedy","","Anatomy Museum"
"Tue","12 Mar 2013","6MNTDT03","Revision","Tutorial","10:00","11:00","Louise Goff","","FWB 1.11"
"Tue","12 Mar 2013","6MNTDT03","Revision","Tutorial","11:00","12:00","Louise Goff","","FWB 1.11"
"Thu","14 Mar 2013","6MNTDT03","Community application","Lecture","14:00","15:00","TBC","","FWB G79"
"Thu","14 Mar 2013","6MNTDT03","Community application","Lecture","15:00","16:00","TBC","","FWB G79"
"Fri","15 Mar 2013","6MNT0302","Poster Day Discussion and Preparation","Poster","09:00","13:00","Victor Preedy and Various","","Anatomy Museum"
"Fri","15 Mar 2013","6MNT0302","Poster Day Discussion and Preparation","Poster","09:00","13:00","Victor Preedy and Various","","Anatomy Museum"
"Fri","15 Mar 2013","6MNT0302","Poster Discussion","Poster","14:00","17:00","Victor Preedy","","Anatomy Museum"
"Mon","25 Mar 2013","6MNTPCS3","Tutorial and exam preparation","Tutorial","14:00","15:00","Kevin Whelan","","FWB 1.11"
